Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7u","C_0402_1005Metric",86.794460,-112.419080,180.000000,bottom
"C2","1u","C_0201_0603Metric",93.232760,-111.976880,90.000000,bottom
"C3","100n","C_0201_0603Metric",86.584460,-111.609080,180.000000,bottom
"C4","100n","C_0201_0603Metric",91.832760,-111.976880,90.000000,bottom
"C5","10n","C_0201_0603Metric",92.532760,-111.976880,90.000000,bottom
"C7","10u","C_0603_1608Metric",103.043920,-106.954880,180.000000,bottom
"C8","33n","C_0201_0603Metric",101.864240,-99.757980,90.000000,bottom
"C9","1u","C_0201_0603Metric",105.445700,-104.474120,-90.000000,bottom
"C10","33n","C_0201_0603Metric",103.266980,-99.757980,90.000000,bottom
"C11","1u","C_0201_0603Metric",105.445700,-103.072040,-90.000000,bottom
"C12","10u","C_0603_1608Metric",101.297480,-110.747920,0.000000,bottom
"C13","10u","C_0603_1608Metric",104.258040,-110.747920,0.000000,bottom
"C14","2.2u","C_0201_0603Metric",101.369460,-112.902260,-90.000000,bottom
"C15","2.2u","C_0201_0603Metric",104.711600,-112.902260,-90.000000,bottom
"C16","1u","C_0201_0603Metric",107.739040,-113.798880,-90.000000,bottom
"C17","1n","C_0201_0603Metric",98.080220,-113.029260,-90.000000,bottom
"C18","1u","C_0201_0603Metric",106.989580,-115.736000,0.000000,bottom
"C19","1u","C_0201_0603Metric",105.554680,-115.736000,180.000000,bottom
"C20","2.2u","C_0201_0603Metric",101.369460,-114.685020,90.000000,bottom
"C21","2.2u","C_0201_0603Metric",104.711600,-114.685020,90.000000,bottom
"D1","~","X3-WLB1006-2",100.599280,-109.300363,90.000000,bottom
"D2","~","X3-WLB1006-2",104.650503,-109.276677,-90.000000,bottom
"L1","3.3u","SMD-0808",99.773877,-107.414400,90.000000,bottom
"L2","4.7u","SMD-0808",102.939580,-108.843620,0.000000,bottom
"R1","0","R_0201_0603Metric",86.584460,-110.909080,180.000000,bottom
"R9","4.87k","R_0201_0603Metric",102.565520,-99.757980,-90.000000,bottom
"R10","7.5k","R_0201_0603Metric",103.967540,-99.757980,-90.000000,bottom
"R11","1.15M","R_0201_0603Metric",101.163860,-99.757980,90.000000,bottom
"R12","100k","R_0201_0603Metric",100.462880,-99.757980,-90.000000,bottom
"R13","100k","R_0201_0603Metric",105.370220,-99.757980,90.000000,bottom
"R14","1.33M","R_0201_0603Metric",104.669240,-99.757980,90.000000,bottom
"R15","8.06k","R_0201_0603Metric",100.316340,-115.736000,180.000000,bottom
"R16","10k","R_0201_0603Metric",98.916340,-115.736000,180.000000,bottom
"R17","64.9k","R_0201_0603Metric",103.654740,-115.736000,180.000000,bottom
"R18","10k","R_0201_0603Metric",102.254740,-115.736000,180.000000,bottom
"U2","~","LFCSP-20-1EP_4mmx4mm_P0.5mm_EP2.6mm",102.617440,-103.771560,0.000000,bottom
"U3","~","LFCSP-6-1EP_2mmx2mm_P0.65mm_EP1.6mmx1mm",99.688100,-114.000520,180.000000,bottom
"U4","~","LFCSP-6-1EP_2mmx2mm_P0.65mm_EP1.6mmx1mm",103.022820,-114.000520,180.000000,bottom
"U5","~","WSON-6_1.5mmx1.5mm_P0.5mm",106.272280,-114.275920,0.000000,bottom
"C6","100n","C_0201_0603Metric",92.029240,-114.316400,-90.000000,top
"C22","2p","C_0201_0603Metric",88.565920,-114.316400,-90.000000,top
"C23","2p","C_0201_0603Metric",90.694500,-114.316400,-90.000000,top
"C24","100n","C_0201_0603Metric",93.947680,-106.292240,0.000000,top
"D3","~","ROHM-LED-0603",96.245020,-107.242240,0.000000,top
"D4","~","OSRAM-LED-0603",108.909460,-99.316380,0.000000,top
"J1","~","TLW-102-06-G-S",116.189760,-97.282000,0.000000,top
"J2","~","TLW-102-06-G-S",116.189760,-104.902000,0.000000,top
"J3","~","TLW-102-06-G-S",116.189760,-108.712000,0.000000,top
"J4","~","SMD-ARM10-10_2x5_P0.05in",114.919360,-116.205340,90.000000,top
"J5","~","SLW-110-01-G-D",90.500000,-126.190500,90.000000,top
"J6","~","BOURNES-PUSHBUTTON-7914G-1-000",109.500000,-126.000000,0.000000,top
"J7","~","TLW-102-06-G-S",116.189760,-101.092000,0.000000,top
"R3","4.7k","R_0201_0603Metric",93.379860,-121.696660,-90.000000,top
"R4","4.7k","R_0201_0603Metric",92.678180,-121.696660,-90.000000,top
"R5","0","R_0402_1005Metric",85.013600,-113.619440,180.000000,top
"R6","0","R_0402_1005Metric",85.013600,-112.679440,180.000000,top
"R7","0","R_0402_1005Metric",85.013600,-111.739440,180.000000,top
"R8","0","R_0402_1005Metric",85.013600,-110.797100,180.000000,top
"R19","402","R_0402_1005Metric",97.464580,-107.304740,90.000000,top
"R20","499","R_0402_1005Metric",110.127960,-99.378880,-90.000000,top
"R21","0","R_0402_1005Metric",110.131880,-97.282000,0.000000,top
"R22","0","R_0402_1005Metric",98.554500,-119.113000,0.000000,top
"R23","0","R_0402_1005Metric",98.554500,-120.054760,0.000000,top
"R24","0","R_0402_1005Metric",103.992640,-119.113000,0.000000,top
"S1","~","OMNETICS_PZN-12-AA",84.781780,-93.822480,0.000000,top
"S2","~","MOUNTING_HOLE-PAD-0.1IN",73.048000,-93.048000,0.000000,top
"S3","~","MOUNTING_HOLE-PAD-0.1IN",116.952000,-93.048000,0.000000,top
"S4","~","OMNETICS_PZN-16-AA",95.910180,-93.822080,0.000000,top
"S5","~","OMNETICS-A79024-001",75.381000,-110.000000,-90.000000,top
"S6","~","MOUNTING_HOLE-PAD-0.1IN",73.048000,-126.952000,0.000000,top
"S7","~","MOUNTING_HOLE-PAD-0.1IN",116.952000,-126.952000,0.000000,top
"U1","~","UFQFPN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm",91.652240,-109.642320,90.000000,top
"X1","~","CRYSTAL-ECS-ECX-1210B-32KHZ",89.629100,-114.314240,-90.000000,top
