Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0201_0603Metric",123.950760,-91.209680,180.000000,bottom
"C2","100n","C_0201_0603Metric",123.122200,-82.299680,180.000000,bottom
"C3","10n","C_0201_0603Metric",123.950760,-90.507460,180.000000,bottom
"C7","100n","C_0201_0603Metric",118.465600,-103.733600,180.000000,bottom
"C8","10n","C_0201_0603Metric",121.564400,-103.733600,180.000000,bottom
"C9","100n","C_0201_0603Metric",115.520000,-94.033020,180.000000,bottom
"C10","100n","C_0201_0603Metric",115.520000,-94.733440,180.000000,bottom
"C44","100n","C_0201_0603Metric",113.813660,-82.250000,-90.000000,bottom
"C45","100n","C_0201_0603Metric",113.111280,-101.700000,90.000000,bottom
"C46","100n","C_0201_0603Metric",113.813240,-87.600000,90.000000,bottom
"C47","100n","C_0201_0603Metric",113.815840,-92.950000,90.000000,bottom
"R2","20k","R_0201_0603Metric",113.111280,-98.300000,-90.000000,bottom
"R3","20k","R_0201_0603Metric",113.111280,-92.950000,-90.000000,bottom
"R4","20k","R_0201_0603Metric",113.111280,-87.600000,-90.000000,bottom
"R5","20k","R_0201_0603Metric",113.111280,-82.250000,-90.000000,bottom
"R10","0","R_0201_0603Metric",123.950760,-89.807140,0.000000,bottom
"R11","0","R_0201_0603Metric",120.018640,-103.733600,180.000000,bottom
"R12","100","R_0201_0603Metric",123.435300,-97.871700,90.000000,bottom
"R13","100","R_0201_0603Metric",123.435300,-99.273780,90.000000,bottom
"R15","100","R_0201_0603Metric",123.435300,-100.675020,90.000000,bottom
"R39","0","R_0201_0603Metric",123.435300,-96.403160,90.000000,bottom
"U5","~","LFCSP-24-1EP_4mmx4mm_P0.5mm_EP2.6mm",110.000000,-83.950000,90.000000,bottom
"U6","~","LFCSP-24-1EP_4mmx4mm_P0.5mm_EP2.6mm",110.000000,-89.300000,90.000000,bottom
"U7","~","LFCSP-24-1EP_4mmx4mm_P0.5mm_EP2.6mm",110.000000,-94.650000,90.000000,bottom
"U8","~","LFCSP-24-1EP_4mmx4mm_P0.5mm_EP2.6mm",110.000000,-100.000000,90.000000,bottom
"U9","~","104-Pin BGA - 9mmx7mm",119.500000,-87.400000,-90.000000,bottom
"U12","~","QFN-44-1EP_7x7mm_P0.5mm_EP5.4x5.4mm",118.950000,-99.216000,-90.000000,bottom
"C4","100n","C_0201_0603Metric",123.800000,-83.500000,90.000000,top
"C5","100n","C_0201_0603Metric",123.600083,-91.140380,-90.000000,top
"C6","10n","C_0201_0603Metric",121.555960,-82.299680,180.000000,top
"C11","4.7u","C_0402_1005Metric",116.292860,-103.120840,-90.000000,top
"C12","4.7u","C_0402_1005Metric",115.372860,-103.120840,-90.000000,top
"C13","4.7u","C_0402_1005Metric",117.212860,-103.120840,-90.000000,top
"C32","100n","C_0201_0603Metric",113.461280,-92.780200,0.000000,top
"C33","100n","C_0201_0603Metric",113.461280,-97.400400,0.000000,top
"C34","100n","C_0201_0603Metric",113.461280,-82.002200,0.000000,top
"C35","100n","C_0201_0603Metric",113.461280,-86.701800,0.000000,top
"C36","100n","C_0201_0603Metric",113.461280,-98.114200,0.000000,top
"C37","100n","C_0201_0603Metric",113.461280,-81.298680,0.000000,top
"C38","100n","C_0201_0603Metric",113.461280,-87.415600,0.000000,top
"C39","100n","C_0201_0603Metric",113.461280,-92.061200,0.000000,top
"C40","100n","C_0201_0603Metric",113.813240,-91.000000,-90.000000,top
"C41","100n","C_0201_0603Metric",113.813300,-96.350000,-90.000000,top
"C42","100n","C_0201_0603Metric",113.811280,-101.039760,90.000000,top
"C43","100n","C_0201_0603Metric",113.815960,-85.650000,-90.000000,top
"GND1","GND1","TESTPOINT_SMALL",124.315000,-81.188000,0.000000,top
"R6","20k","R_0201_0603Metric",113.111280,-85.650000,90.000000,top
"R7","20k","R_0201_0603Metric",113.111280,-91.000000,90.000000,top
"R8","20k","R_0201_0603Metric",113.111280,-96.350000,90.000000,top
"R9","20k","R_0201_0603Metric",113.111280,-101.700000,90.000000,top
"R14","0","R_0402_1005Metric",122.489380,-81.028400,180.000000,top
"R16","100","R_0201_0603Metric",119.353460,-101.005480,90.000000,top
"R18","100","R_0201_0603Metric",123.800000,-89.579040,-90.000000,top
"R19","0","R_0201_0603Metric",123.122200,-82.299680,0.000000,top
"R20","100","R_0201_0603Metric",123.800000,-87.989000,-90.000000,top
"R21","100","R_0201_0603Metric",123.800000,-86.412620,-90.000000,top
"REF0","REF0","TESTPOINT_SMALL",120.622500,-81.188000,0.000000,top
"S3","~","OMNETICS-A79024-001",120.720720,-99.104060,90.000000,top
"S5","~","SAMTEC_SEAM8-20-S02.0-X-08-3_Cereplex",100.996980,-92.003400,90.000000,top
"TP1","~","TESTPOINT_PAD_SQ_0.5",115.619340,-99.054000,0.000000,top
"TP2","~","TESTPOINT_PAD_SQ_0.5",115.619340,-100.054000,0.000000,top
"TP3","~","TESTPOINT_PAD_SQ_0.5",115.619340,-101.054000,0.000000,top
"TP4","~","TESTPOINT_PAD_SQ_0.5",112.998060,-103.300000,0.000000,top
"TP5","~","TESTPOINT_PAD_SQ_0.5",112.998060,-104.300000,0.000000,top
"TP6","~","TESTPOINT_PAD_SQ_0.5",115.619340,-95.000000,0.000000,top
"TP7","~","TESTPOINT_PAD_SQ_0.5",115.619340,-94.012440,0.000000,top
"TP8","~","TESTPOINT_PAD_SQ_0.5",116.619340,-98.054000,0.000000,top
